Country,Year,lnrgdp,lnenr
Algeria,1980,8.200738461,2.988103246
Algeria,1981,8.199425725,2.824231955
Algeria,1982,8.230244184,3.204249378
Algeria,1983,8.251601324,3.29798271
Algeria,1984,8.275213346,3.36408378
Algeria,1985,8.281316416,3.277220202
Algeria,1986,8.255838817,3.298943148
Algeria,1987,8.220144724,3.366329846
Algeria,1988,8.18233565,3.428098935
Algeria,1989,8.198644956,3.392929967
Algeria,1990,8.180948129,3.444065282
Algeria,1991,8.144272715,3.532488767
Algeria,1992,8.138608545,3.491068554
Algeria,1993,8.095168731,3.411114709
Algeria,1994,8.065419188,3.442883003
Algeria,1995,8.08361869,3.48280809
Algeria,1996,8.1062672,3.457105014
Algeria,1997,8.10105331,3.412203261
Algeria,1998,8.135789277,3.449225351
Algeria,1999,8.153125272,3.446584938
Algeria,2000,8.176835817,3.433309556
Algeria,2001,8.193295167,3.450368426
Algeria,2002,8.235034504,3.465423354
Algeria,2003,8.291799611,3.475283925
Algeria,2004,8.320723216,3.44919358
Algeria,2005,8.364149232,3.616980579
Algeria,2006,8.36629588,3.6567694
Algeria,2007,8.384217073,3.658755242
Algeria,2008,8.39157101,3.737979094
Algeria,2009,8.390223084,3.796881478
Algeria,2010,8.407539027,3.807617589
Algeria,2011,8.417295505,3.921280027
Algeria,2012,8.431214735,3.977286264
Algeria,2013,8.43880345,3.93558327
Algeria,2014,8.45576237,3.944993457
Algeria,2015,8.471641278,3.952780998
Algeria,2016,8.482626591,3.944470834
Algeria,2017,8.475093297,3.947422324
Angola,1980,8.064491811,0.397432936
Angola,1981,7.984258282,0.380489122
Angola,1982,7.948727862,0.430482871
Angola,1983,7.954196695,0.509224342
Angola,1984,7.976825465,0.414094435
Angola,1985,7.975746835,0.610308902
Angola,1986,7.969015241,0.623797102
Angola,1987,7.973889141,0.650761464
Angola,1988,7.998550427,0.676509539
Angola,1989,7.964621535,0.66371837
Angola,1990,7.895726468,0.689139159
Angola,1991,7.872344626,0.726581957
Angola,1992,7.7793875,0.774266232
Angola,1993,7.472699702,0.750472247
Angola,1994,7.453747254,0.726581957
Angola,1995,7.561340088,0.797056644
Angola,1996,7.6562189,0.750472247
Angola,1997,7.69426529,0.852285402
Angola,1998,7.707817766,0.762673243
Angola,1999,7.696907852,0.863311807
Angola,2000,7.6942243,0.830732844
Angola,2001,7.702411568,1.098945566
Angola,2002,7.797209101,1.17186275
Angola,2003,7.7928814,1.22524494
