"","Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
"1",1980,8.200738461,6.368101419,0.219200884026743,8.064491811,6.304521926,0.13320075093983,7.005163257,5.853753001,-0.569887648488518,9.408121807,7.545331608,0.496225810808345,7.630456407,6.500448476,-0.455674307228192,7.75209878,5.853896447,0.176934509941791
"2",1981,8.199425725,6.420825202,0.218113568609433,7.984258282,6.275872516,0.117501420800237,7.051188734,5.981843412,-0.583198574534782,9.432844519,7.635545403,0.491545797063573,7.46262841,6.517316705,-0.594940440313226,7.885178739,5.855071922,0.350978228374765
"3",1982,8.230244184,6.65398498,0.0892213825920783,7.948727862,6.226655239,0.14542135944055,7.120323104,6.047395819,-0.54131568380022,9.375879386,7.639040856,0.456372447674354,7.366166981,6.539860484,-0.684663870961868,8.06783889,5.884463798,0.534964365055105
"4",1983,8.251601324,6.700337428,0.10665827079927,7.954196695,6.218400897,0.190125380677824,7.144241421,6.125623868,-0.54650872737965,9.404434855,7.641199516,0.515933767802744,7.225146628,6.542428732,-0.79500206793387,8.095674918,5.968886572,0.528793376033676
"5",1984,8.275213346,6.660549541,0.112281401105265,7.976825465,6.193037108,0.18336597519096,7.211039995,6.202737926,-0.590085996894984,9.450340254,7.542409626,0.590479227334664,7.188639297,6.519397994,-0.862741371547751,8.134382523,5.907348973,0.566700764811849
"6",1985,8.281316416,6.673348535,0.108458962182826,7.975746835,6.216446408,0.163976570914454,7.240800221,6.255423693,-0.601773572927767,9.399784006,7.404984894,0.648718438967389,7.220461616,6.526831553,-0.836604288266477,8.094158641,5.919296999,0.517223889129577
"7",1986,8.255838817,6.765730779,0.0360509555170112,7.969015241,6.192587413,0.202179368821857,7.260241462,6.255366091,-0.556208047485825,9.364358472,7.376889781,0.661575077183968,7.195037271,6.510124403,-0.822746304371785,7.995208874,5.875267753,0.479148950334778
"8",1987,8.220144724,6.72449328,0.0625466175704469,7.973889141,6.181299474,0.245574054494245,7.270765115,6.291735792,-0.544827174553069,9.148631976,7.296725085,0.538802281814002,7.200283092,6.518070012,-0.79417986286713,7.969572178,5.863915226,0.492084083541507
"9",1988,8.18233565,6.750926015,-0.0190006512536161,7.998550427,6.186290925,0.243442072222905,7.297226497,6.288731785,-0.538840295186802,9.241715969,7.324786573,0.586860885624268,7.244748808,6.521018692,-0.774893024668244,7.959758024,5.809492929,0.502431013261492
"10",1989,8.198644956,6.715698488,0.00496859173353407,7.964621535,6.173973586,0.199067324060304,7.319580121,6.327222243,-0.567085644507434,9.296006928,7.225881684,0.699135643846588,7.2376344,6.529214438,-0.808664664917032,7.958150239,5.819697099,0.472578749784039
"11",1990,8.180948129,6.758396433,-0.0506515351905435,7.895726468,6.207664044,0.099367523619446,7.350432674,6.353552315,-0.561220953152289,9.319102396,7.126288218,0.796759916399007,7.323177319,6.547660207,-0.741878687097683,7.940754692,5.811320618,0.457623735422062
"12",1991,8.144272715,6.789962243,-0.0959063362750784,7.872344626,6.19807213,0.0999330130960411,7.338901129,6.331395083,-0.538874866297154,9.351114845,7.131082813,0.841350119458732,7.301296243,6.569032512,-0.764283280322006,7.936985335,5.827061491,0.457781350339464
"13",1992,8.138608545,6.789804729,-0.0833040541602742,7.7793875,6.170844281,0.0466358732143401,7.361261064,6.335780938,-0.501839078234483,9.292635311,7.170665548,0.76973054155903,7.321353887,6.582579002,-0.736789381748461,7.935225961,5.787326737,0.505566099369848
"14",1993,8.095168731,6.771144865,-0.0432912898843901,7.472699702,6.173411034,-0.193374622935747,7.369373852,6.351583553,-0.437509215927472,9.304574519,7.200327873,0.826933572745818,7.275760789,6.573484617,-0.706489445905485,7.897686731,5.765817866,0.553731001907278
"15",1994,8.065419188,6.713660691,-0.0698940620019219,7.453747254,6.154730697,-0.239846754913391,7.388247461,6.292790615,-0.414454527192286,9.314696784,7.05343014,0.910865643084269,7.232509123,6.52372382,-0.752698082571516,7.813272181,5.589941658,0.566027783594846
