Country,Year,lnrgdp,lnec2,residual
Algeria,1980,8.200738461,3.18405071,0.219200884
Algeria,1981,8.199425725,3.210412601,0.218113568
Algeria,1982,8.230244184,3.32699249,0.089221383
Algeria,1983,8.251601324,3.350168714,0.106658271
Algeria,1984,8.275213346,3.330274771,0.112281401
Algeria,1985,8.281316416,3.336674268,0.108458962
Algeria,1986,8.255838817,3.382865389,0.036050955
Algeria,1987,8.220144724,3.36224664,0.062546618
Algeria,1988,8.18233565,3.375463007,-0.019000651
Algeria,1989,8.198644956,3.357849244,0.004968592
Algeria,1990,8.180948129,3.379198217,-0.050651535
Algeria,1991,8.144272715,3.394981122,-0.095906337
Algeria,1992,8.138608545,3.394902365,-0.083304054
Algeria,1993,8.095168731,3.385572433,-0.04329129
Algeria,1994,8.065419188,3.356830346,-0.069894062
Algeria,1995,8.08361869,3.368507203,-0.069679702
Algeria,1996,8.1062672,3.343616644,-0.047907049
Algeria,1997,8.10105331,3.347751105,-0.078412163
Algeria,1998,8.135789277,3.357406764,-0.072432232
Algeria,1999,8.153125272,3.382980637,-0.073123453
Algeria,2000,8.176835817,3.384022418,-0.080613773
Algeria,2001,8.193295167,3.37848945,-0.035313006
Algeria,2002,8.235034504,3.40578736,-0.048120769
Algeria,2003,8.291799611,3.42983893,0.010415946
Algeria,2004,8.320723216,3.429424304,0.039341666
Algeria,2005,8.364149232,3.442729272,0.055032238
Algeria,2006,8.36629588,3.469588212,0.053131465
Algeria,2007,8.384217073,3.491514857,0.013953926
Algeria,2008,8.39157101,3.489204718,0.025392317
Algeria,2009,8.390223084,3.525347388,-0.011143494
Algeria,2010,8.407539027,3.507954944,0.016884844
Algeria,2011,8.417295505,3.519672394,0.008454095
Algeria,2012,8.431214735,3.557201764,-0.038409855
Algeria,2013,8.43880345,3.564444406,-0.025432218
Algeria,2014,8.45576237,3.595541442,-0.085829889
Algeria,2015,8.471641278,3.572674297,-0.03958175
Algeria,2016,8.482626591,3.580413464,-0.012707242
Algeria,2017,8.475093297,3.582966793,-0.006979305
Angola,1980,8.064491811,3.152260963,0.133200751
Angola,1981,7.984258282,3.137936258,0.117501421
Angola,1982,7.948727862,3.11332762,0.145421359
Angola,1983,7.954196695,3.109200448,0.190125381
Angola,1984,7.976825465,3.096518554,0.183365975
