Country,Year,lnrgdp,lnec2,residual
Algeria,1980,8.200738461,6.368101419,-0.03671839
Algeria,1981,8.199425725,6.420825202,-0.029987105
Algeria,1982,8.230244184,6.65398498,-0.0059154
Algeria,1983,8.251601324,6.700337428,0.021677603
Algeria,1984,8.275213346,6.660549541,0.017886677
Algeria,1985,8.281316416,6.673348535,0.028876832
Algeria,1986,8.255838817,6.765730779,0.03681572
Algeria,1987,8.220144724,6.72449328,0.042660805
Algeria,1988,8.18233565,6.750926015,-0.017412267
Algeria,1989,8.198644956,6.715698488,-0.01047349
Algeria,1990,8.180948129,6.758396433,-0.032119118
Algeria,1991,8.144272715,6.789962243,-0.056727147
Algeria,1992,8.138608545,6.789804729,-0.04291406
Algeria,1993,8.095168731,6.771144865,-0.018382871
Algeria,1994,8.065419188,6.713660691,-0.022253266
Algeria,1995,8.08361869,6.737014406,-0.03109129
Algeria,1996,8.1062672,6.687233288,-0.04128258
Algeria,1997,8.10105331,6.69550221,-0.056580838
Algeria,1998,8.135789277,6.714813527,-0.037801031
Algeria,1999,8.153125272,6.765961273,0.006615234
Algeria,2000,8.176835817,6.768044835,0.016606839
Algeria,2001,8.193295167,6.7569789,0.017347566
Algeria,2002,8.235034504,6.811574721,0.018404362
Algeria,2003,8.291799611,6.859677861,0.059468068
Algeria,2004,8.320723216,6.858848608,0.058529003
Algeria,2005,8.364149232,6.885458544,0.058879146
Algeria,2006,8.36629588,6.939176424,0.038779278
Algeria,2007,8.384217073,6.983029713,0.028456581
Algeria,2008,8.39157101,6.978409436,0.013992537
Algeria,2009,8.390223084,7.050694776,0.00494869
Algeria,2010,8.407539027,7.015909888,-0.013072067
Algeria,2011,8.417295505,7.039344787,-0.013957093
Algeria,2012,8.431214735,7.114403528,-0.013828416
Algeria,2013,8.43880345,7.128888812,-0.021329504
Algeria,2014,8.45576237,7.191082884,-0.020337391
Algeria,2015,8.471641278,7.145348594,-0.009386767
Algeria,2016,8.482626591,7.160826928,0.0243183
Algeria,2017,8.475093297,7.165933587,0.03730685
Angola,1980,8.064491811,6.304521926,0.186785053
Angola,1981,7.984258282,6.275872516,0.1106404
Angola,1982,7.948727862,6.226655239,0.054638285
Angola,1983,7.954196695,6.218400897,0.063688817
Angola,1984,7.976825465,6.193037108,0.059615723
Angola,1985,7.975746835,6.216446408,0.063939892
Angola,1986,7.969015241,6.192587413,0.084974878
Angola,1987,7.973889141,6.181299474,0.132843654
Angola,1988,7.998550427,6.186290925,0.134198789
Angola,1989,7.964621535,6.173973586,0.092012917
Angola,1990,7.895726468,6.207664044,0.018731241
Angola,1991,7.872344626,6.19807213,0.005416312
Angola,1992,7.7793875,6.170844281,-0.069379311
Angola,1993,7.472699702,6.173411034,-0.307064386
Angola,1994,7.453747254,6.154730697,-0.298251626
Angola,1995,7.561340088,6.121768863,-0.220433535
Angola,1996,7.6562189,6.118229348,-0.156146949
Angola,1997,7.69426529,6.107579526,-0.129104474
Angola,1998,7.707817766,6.072767998,-0.134138799
Angola,1999,7.696907852,6.089407621,-0.119645711
Angola,2000,7.6942243,6.08347383,-0.136437886
Angola,2001,7.702411568,6.093524622,-0.142942862
Angola,2002,7.797209101,6.105373421,-0.09090559
Angola,2003,7.7928814,6.147698769,-0.111215522
Angola,2004,7.862289323,6.14162872,-0.071924998
Angola,2005,7.966926564,6.07205326,-0.015038722
Angola,2006,8.040011864,6.128592589,0.035937198
Angola,2007,8.134320932,6.15632199,0.101218675
Angola,2008,8.203071314,6.198438065,0.150422697
Angola,2009,8.174584566,6.244593994,0.112970007
Angola,2010,8.185316778,6.255673263,0.090594747
Angola,2011,8.183106906,6.257246043,0.076680762
Angola,2012,8.2290977,6.314200008,0.108001021
Angola,2013,8.241934956,6.2799463,0.103379514
Angola,2014,8.254060632,6.300069942,0.09749355
Angola,2015,8.229063019,6.298170758,0.069698258
Angola,2016,8.169140965,6.292770064,0.031481133
Angola,2017,8.134447042,6.297008367,0.017266847
Egypt,1980,7.005163257,5.853753001,-0.502573441
Egypt,1981,7.051188734,5.981843412,-0.444840747
Egypt,1982,7.120323104,6.047395819,-0.39059969
Egypt,1983,7.144241421,6.125623868,-0.358896196
Egypt,1984,7.211039995,6.202737926,-0.313818549
Egypt,1985,7.240800221,6.255423693,-0.277232541
Egypt,1986,7.260241462,6.255366091,-0.228867853
Egypt,1987,7.270765115,6.291735792,-0.173032923
Egypt,1988,7.297226497,6.288731785,-0.170266312
Egypt,1989,7.319580121,6.327222243,-0.153700154
Egypt,1990,7.350432674,6.353552315,-0.127591962
Egypt,1991,7.338901129,6.331395083,-0.129667331
Egypt,1992,7.361261064,6.335780938,-0.087609309
Egypt,1993,7.369373852,6.351583553,-0.009850468
Egypt,1994,7.388247461,6.292790615,0.034838676
Egypt,1995,7.413560321,6.334256061,0.033994331
Egypt,1996,7.442111865,6.373695146,0.034042624
Egypt,1997,7.475492286,6.394259427,0.057936293
Egypt,1998,7.509789957,6.443367849,0.077726093
Egypt,1999,7.548893119,6.445783309,0.141540892
Egypt,2000,7.591341903,6.379563058,0.166950828
