Year,LnRgdp_Algeria,LnEnergy_Algeria,LnRgdp_Angola,LnEnergy_Angola,LnRgdp_Egypt,LnEnergy_Egypt,LnRgdp_Gabon,LnEnergy_Gabon,LnRgdp_Nigeria,LnEnergy_Nigeria,LnRgdp_Rcongo,LnEnery_RCongo
1980,8.200738461,2.988103246,8.064491811,0.397432936,7.005163257,2.885135852,9.408121807,-0.313341819,7.630456407,2.366498419,7.75209878,-1.241328591
1981,8.199425725,2.824231955,7.984258282,0.380489122,7.051188734,3.036442262,9.432844519,-0.214431611,7.46262841,2.572993837,7.885178739,-1.064210862
1982,8.230244184,3.204249378,7.948727862,0.430482871,7.120323104,3.145315395,9.375879386,-0.278392026,7.366166981,2.567100887,8.06783889,-1.136314156
1983,8.251601324,3.29798271,7.954196695,0.509224342,7.144241421,3.282075951,9.404434855,0.057325067,7.225146628,2.572841212,8.095674918,-1.287354413
1984,8.275213346,3.36408378,7.976825465,0.414094435,7.211039995,3.371699911,9.450340254,-0.069350078,7.188639297,2.643405008,8.134382523,-1.194022473
1985,8.281316416,3.277220202,7.975746835,0.610308902,7.240800221,3.425629798,9.399784006,-0.214431611,7.220461616,2.714363563,8.094158641,-0.830113036
1986,8.255838817,3.298943148,7.969015241,0.623797102,7.260241462,3.449130035,9.364358472,-0.313341819,7.195037271,2.697663108,7.995208874,-0.980829253
1987,8.220144724,3.366329846,7.973889141,0.650761464,7.270765115,3.488414293,9.148631976,-0.183922838,7.200283092,2.749000187,7.969572178,-0.761426021
1988,8.18233565,3.428098935,7.998550427,0.676509539,7.297226497,3.498384587,9.241715969,-0.0965109,7.244748808,2.816127024,7.959758024,-0.939047719
1989,8.198644956,3.392929967,7.964621535,0.66371837,7.319580121,3.531406595,9.296006928,0.080657903,7.2376344,2.895856688,7.958150239,-0.834710745
1990,8.180948129,3.444065282,7.895726468,0.689139159,7.350432674,3.587372615,9.319102396,0.081579987,7.323177319,2.868977865,7.940754692,-0.733969175
1991,8.144272715,3.532488767,7.872344626,0.726581957,7.338901129,3.588064149,9.351114845,0.106160196,7.301296243,2.965788397,7.936985335,-0.832409248
1992,8.138608545,3.491068554,7.7793875,0.774266232,7.361261064,3.58318555,9.292635311,0.128393215,7.321353887,2.985075693,7.935225961,-0.884307686
1993,8.095168731,3.411114709,7.472699702,0.750472247,7.369373852,3.64037175,9.304574519,0.082501222,7.275760789,2.999275987,7.897686731,-0.946749939
