Country,Year,lnrgdp,lnec2
Algeria,1980,8.200738461,1.494051623
Algeria,1981,8.199425725,1.412115978
Algeria,1982,8.230244184,1.602124689
Algeria,1983,8.251601324,1.648991355
Algeria,1984,8.275213346,1.68204189
Algeria,1985,8.281316416,1.638610101
Algeria,1986,8.255838817,1.649471574
Algeria,1987,8.220144724,1.683164923
Algeria,1988,8.18233565,1.714049467
Algeria,1989,8.198644956,1.696464984
Algeria,1990,8.180948129,1.722032641
Algeria,1991,8.144272715,1.766244384
Algeria,1992,8.138608545,1.745534277
Algeria,1993,8.095168731,1.705557354
Algeria,1994,8.065419188,1.721441502
Algeria,1995,8.08361869,1.741404045
Algeria,1996,8.1062672,1.728552507
Algeria,1997,8.10105331,1.70610163
Algeria,1998,8.135789277,1.724612675
Algeria,1999,8.153125272,1.723292469
Algeria,2000,8.176835817,1.716654778
Algeria,2001,8.193295167,1.725184213
Algeria,2002,8.235034504,1.732711677
Algeria,2003,8.291799611,1.737641963
Algeria,2004,8.320723216,1.72459679
Algeria,2005,8.364149232,1.808490289
Algeria,2006,8.36629588,1.8283847
Algeria,2007,8.384217073,1.829377621
Algeria,2008,8.39157101,1.868989547
Algeria,2009,8.390223084,1.898440739
Algeria,2010,8.407539027,1.903808795
Algeria,2011,8.417295505,1.960640013
Algeria,2012,8.431214735,1.988643132
Algeria,2013,8.43880345,1.967791635
Algeria,2014,8.45576237,1.972496729
Algeria,2015,8.471641278,1.976390499
Algeria,2016,8.482626591,1.972235417
Algeria,2017,8.475093297,1.973711162
Angola,1980,8.064491811,0.198716468
Angola,1981,7.984258282,0.190244561
Angola,1982,7.948727862,0.215241436
Angola,1983,7.954196695,0.254612171
Angola,1984,7.976825465,0.207047217
Angola,1985,7.975746835,0.305154451
Angola,1986,7.969015241,0.311898551
Angola,1987,7.973889141,0.325380732
Angola,1988,7.998550427,0.33825477
Angola,1989,7.964621535,0.331859185
Angola,1990,7.895726468,0.34456958
Angola,1991,7.872344626,0.363290978
Angola,1992,7.7793875,0.387133116
Angola,1993,7.472699702,0.375236124
Angola,1994,7.453747254,0.363290978
Angola,1995,7.561340088,0.398528322
Angola,1996,7.6562189,0.375236124
Angola,1997,7.69426529,0.426142701
Angola,1998,7.707817766,0.381336622
Angola,1999,7.696907852,0.431655904
Angola,2000,7.6942243,0.415366422
Angola,2001,7.702411568,0.549472783
Angola,2002,7.797209101,0.585931375
Angola,2003,7.7928814,0.61262247
Angola,2004,7.862289323,0.64832157
Angola,2005,7.966926564,0.655111462
Angola,2006,8.040011864,0.712877715
Angola,2007,8.134320932,0.788663929
Angola,2008,8.203071314,0.856718751
Angola,2009,8.174584566,0.93643926
Angola,2010,8.185316778,0.973740172
Angola,2011,8.183106906,0.989672463
Angola,2012,8.2290977,1.003435424
Angola,2013,8.241934956,1.048763505
Angola,2014,8.254060632,1.014600163
Angola,2015,8.229063019,1.02261911
Angola,2016,8.169140965,1.028853525
Angola,2017,8.134447042,1.022058282
Egypt,1980,7.005163257,1.442567926
Egypt,1981,7.051188734,1.518221131
