Years,LnRgdp_Algeria,LnEnergy_Algeria,res_Algeria,LnRgdp_Angola,LnEnergy_Angola,res_Angola,LnRgdp_Egypt,LnEnergy_Egypt,res_Egypt,LnRgdp_Gabon,LnEnergy_Gabon,res_Gabon,LnRgdp_Nigeria,LnEnergy_Nigeria,res_Nigeria,LnRgdp_Rcongo,LnEnery_RCongo,res_Congo
1980,8.200738461,1.494051623,1.031767801,8.064491811,0.198716468,-0.355030845,7.005163257,1.442567926,0.177684683,9.408121807,-0.15667091,0.191571592,7.630456407,1.183249209,0.338130376,7.75209878,-0.620664295,-1.384123608
1981,8.199425725,1.412115978,0.916295597,7.984258282,0.190244561,-0.450019486,7.051188734,1.518221131,0.251579859,9.432844519,-0.107215805,0.224967947,7.46262841,1.286496918,0.296058469,7.885178739,-0.532105431,-1.238882386
1982,8.230244184,1.602124689,1.083437015,7.948727862,0.215241436,-0.49243045,7.120323104,1.572657698,0.308870917,9.375879386,-0.139196013,0.111190602,7.366166981,1.283550444,0.18480067,8.06783889,-0.568157078,-1.195868755
1983,8.251601324,1.648991355,1.106794359,7.954196695,0.254612171,-0.487234987,7.144241421,1.641037975,0.355461212,9.404434855,0.028662533,0.260372123,7.225146628,1.286420606,0.05515617,8.095674918,-0.643677207,-1.290548876
1984,8.275213346,1.68204189,1.129514864,7.976825465,0.207047217,-0.545790036,7.211039995,1.685849955,0.418934648,9.450340254,-0.034675039,0.201670247,7.188639297,1.321702504,0.039749424,8.134382523,-0.597011237,-1.244079147
1985,8.281316416,1.638610101,1.055129118,7.975746835,0.305154451,-0.483457893,7.240800221,1.712814899,0.430826876,9.399784006,-0.107215805,0.06013966,7.220461616,1.357181782,0.061540287,8.094158641,-0.415056518,-1.124178048
1986,8.255838817,1.649471574,1.085496235,7.969015241,0.311898551,-0.444623802,7.260241462,1.724565018,0.492237024,9.364358472,-0.15667091,0.02351207,7.195037271,1.348831554,0.072731454,7.995208874,-0.490414627,-1.22935298
1987,8.220144724,1.683164923,1.079433756,7.973889141,0.325380732,-0.443663824,7.270765115,1.744207147,0.503149676,9.148631976,-0.091961419,-0.072391494,7.200283092,1.374500094,0.086127465,7.969572178,-0.380713011,-1.152655579
1988,8.18233565,1.714049467,1.06295514,7.998550427,0.33825477,-0.436216082,7.297226497,1.749192293,0.503916946,9.241715969,-0.04825545,0.011820902,7.244748808,1.408063512,0.127559463,7.959758024,-0.469523859,-1.270036369
1989,8.198644956,1.696464984,1.021833003,7.964621535,0.331859185,-0.499874633,7.319580121,1.765703298,0.500947898,9.296006928,0.040328952,0.102365046,7.2376344,1.447928344,0.128162111,7.958150239,-0.417355372,-1.253433425
1990,8.180948129,1.722032641,1.014272758,7.895726468,0.34456958,-0.554661939,7.350432674,1.793686307,0.528394601,9.319102396,0.040789993,0.097082387,7.323177319,1.434488933,0.150900484,7.940754692,-0.366984588,-1.235988291
1991,8.144272715,1.766244384,1.028702834,7.872344626,0.363290978,-0.556798123,7.338901129,1.794032074,0.515837987,9.351114845,0.053080098,0.125701549,7.301296243,1.482894199,0.179455643,7.936985335,-0.416204624,-1.292899889
1992,8.138608545,1.745534277,1.01796786,7.7793875,0.387133116,-0.581581329,7.361261064,1.791592775,0.54218663,9.292635311,0.064196607,0.111337805,7.321353887,1.492537847,0.216341688,7.935225961,-0.442153843,-1.306252654
1993,8.095168731,1.705557354,1.006785712,7.472699702,0.375236124,-0.741404073,7.369373852,1.820185875,0.634182189,9.304574519,0.041250611,0.154362974,7.275760789,1.499637994,0.250791093,7.897686731,-0.47337497,-1.304717895
