Country,Year,lnrgdp,lnec2,residual
Algeria,1980,8.200738461,1.494051623,0.503051573
Algeria,1981,8.199425725,1.412115978,0.467949748
Algeria,1982,8.230244184,1.602124689,0.537415776
Algeria,1983,8.251601324,1.648991355,0.566228184
Algeria,1984,8.275213346,1.68204189,0.571591268
Algeria,1985,8.281316416,1.638610101,0.553653758
Algeria,1986,8.255838817,1.649471574,0.566674319
Algeria,1987,8.220144724,1.683164923,0.569985542
Algeria,1988,8.18233565,1.714049467,0.517202492
Algeria,1989,8.198644956,1.696464984,0.509071102
Algeria,1990,8.180948129,1.722032641,0.488323898
Algeria,1991,8.144272715,1.766244384,0.47349768
Algeria,1992,8.138608545,1.745534277,0.480339467
Algeria,1993,8.095168731,1.705557354,0.495999799
Algeria,1994,8.065419188,1.721441502,0.4976647
Algeria,1995,8.08361869,1.741404045,0.48917955
Algeria,1996,8.1062672,1.728552507,0.474233567
Algeria,1997,8.10105331,1.70610163,0.446247218
Algeria,1998,8.135789277,1.724612675,0.477786094
Algeria,1999,8.153125272,1.723292469,0.519470118
Algeria,2000,8.176835817,1.716654778,0.528315311
Algeria,2001,8.193295167,1.725184213,0.513197056
Algeria,2002,8.235034504,1.732711677,0.514761826
Algeria,2003,8.291799611,1.737641963,0.548887986
Algeria,2004,8.320723216,1.72459679,0.538873903
Algeria,2005,8.364149232,1.808490289,0.548455692
Algeria,2006,8.36629588,1.8283847,0.531780248
Algeria,2007,8.384217073,1.829377621,0.508499313
Algeria,2008,8.39157101,1.868989547,0.488882374
Algeria,2009,8.390223084,1.898440739,0.485930536
Algeria,2010,8.407539027,1.903808795,0.454803246
Algeria,2011,8.417295505,1.960640013,0.466538926
Algeria,2012,8.431214735,1.988643132,0.451363444
Algeria,2013,8.43880345,1.967791635,0.426939671
Algeria,2014,8.45576237,1.972496729,0.43981239
Algeria,2015,8.471641278,1.976390499,0.44834839
Algeria,2016,8.482626591,1.972235417,0.47933608
Algeria,2017,8.475093297,1.973711162,0.49489989
Angola,1980,8.064491811,0.198716468,-0.081039603
Angola,1981,7.984258282,0.190244561,-0.169663131
Angola,1982,7.948727862,0.215241436,-0.223596583
Angola,1983,7.954196695,0.254612171,-0.213264098
Angola,1984,7.976825465,0.207047217,-0.236755975
Angola,1985,7.975746835,0.305154451,-0.212939991
Angola,1986,7.969015241,0.311898551,-0.182596952
Angola,1987,7.973889141,0.325380732,-0.145705472
Angola,1988,7.998550427,0.33825477,-0.14224505
Angola,1989,7.964621535,0.331859185,-0.196746228
Angola,1990,7.895726468,0.34456958,-0.273136896
Angola,1991,7.872344626,0.363290978,-0.283482482
Angola,1992,7.7793875,0.387133116,-0.348530318
Angola,1993,7.472699702,0.375236124,-0.586409716
Angola,1994,7.453747254,0.363290978,-0.583569319
Angola,1995,7.561340088,0.398528322,-0.497380083
Angola,1996,7.6562189,0.375236124,-0.443705481
Angola,1997,7.69426529,0.426142701,-0.403069207
Angola,1998,7.707817766,0.381336622,-0.414604857
Angola,1999,7.696907852,0.431655904,-0.383313091
Angola,2000,7.6942243,0.415366422,-0.40419897
Angola,2001,7.702411568,0.549472783,-0.384172791
Angola,2002,7.797209101,0.585931375,-0.319547281
Angola,2003,7.7928814,0.61262247,-0.338990425
Angola,2004,7.862289323,0.64832157,-0.29166752
Angola,2005,7.966926564,0.655111462,-0.247532031
Angola,2006,8.040011864,0.712877715,-0.180175147
Angola,2007,8.134320932,0.788663929,-0.101209443
Angola,2008,8.203071314,0.856718751,-0.049596192
Angola,2009,8.174584566,0.93643926,-0.06230692
Angola,2010,8.185316778,0.973740172,-0.088977589
Angola,2011,8.183106906,0.989672463,-0.103348508
Angola,2012,8.2290977,1.003435424,-0.091375767
Angola,2013,8.241934956,1.048763505,-0.087670309
Angola,2014,8.254060632,1.014600163,-0.093069067
Angola,2015,8.229063019,1.02261911,-0.123983365
Angola,2016,8.169140965,1.028853525,-0.160311014
Angola,2017,8.134447042,1.022058282,-0.174767415
Egypt,1980,7.005163257,1.442567926,-0.71032342
Egypt,1981,7.051188734,1.518221131,-0.643602828
Egypt,1982,7.120323104,1.572657698,-0.582693116
Egypt,1983,7.144241421,1.641037975,-0.543881492
Egypt,1984,7.211039995,1.685849955,-0.491265496
Egypt,1985,7.240800221,1.712814899,-0.461207136
Egypt,1986,7.260241462,1.724565018,-0.402960499
Egypt,1987,7.270765115,1.744207147,-0.358289547
Egypt,1988,7.297226497,1.749192293,-0.355756507
Egypt,1989,7.319580121,1.765703298,-0.346055527
Egypt,1990,7.350432674,1.793686307,-0.317418275
Egypt,1991,7.338901129,1.794032074,-0.322266689
Egypt,1992,7.361261064,1.791592775,-0.281083914
Egypt,1993,7.369373852,1.820185875,-0.190163827
Egypt,1994,7.388247461,1.837136651,-0.139507001
Egypt,1995,7.413560321,1.848832871,-0.143736763
Egypt,1996,7.442111865,1.888754136,-0.134534232
Egypt,1997,7.475492286,1.907447587,-0.109701178
