"Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
1980,8.200738461,2.988103246,0.503051572956531,8.064491811,0.397432936,-0.0810396025970382,7.005163257,2.885135852,-0.710323419590633,9.408121807,-0.313341819,1.13972003753416,7.630456407,2.366498419,-0.174686191542434,7.75209878,-1.241328591,-0.676722396760595
1981,8.199425725,2.824231955,0.467949748241282,7.984258282,0.380489122,-0.169663131136849,7.051188734,3.036442262,-0.643602827961068,9.432844519,-0.214431611,1.17608022678898,7.46262841,2.572993837,-0.312278649178727,7.885178739,-1.064210862,-0.518485366753621
1982,8.230244184,3.204249378,0.537415775661465,7.948727862,0.430482871,-0.223596582761554,7.120323104,3.145315395,-0.58269311617771,9.375879386,-0.278392026,1.08101301041136,7.366166981,2.567100887,-0.436804143128205,8.06783889,-1.136314156,-0.375334944005358
1983,8.251601324,3.29798271,0.566228183800862,7.954196695,0.509224342,-0.213264097718884,7.144241421,3.282075951,-0.543881492070641,9.404434855,0.057325067,1.15885504589019,7.225146628,2.572841212,-0.585580421138254,8.095674918,-1.287354413,-0.382357218763274
1984,8.275213346,3.36408378,0.571591268123886,7.976825465,0.414094435,-0.236755974937744,7.211039995,3.371699911,-0.491265495983106,9.450340254,-0.069350078,1.15318662901029,7.188639297,2.643405008,-0.63956522638338,8.134382523,-1.194022473,-0.357191199829941
1985,8.281316416,3.277220202,0.553653758248158,7.975746835,0.610308902,-0.212939991374035,7.240800221,3.425629798,-0.461207136325668,9.399784006,-0.214431611,1.06852576777029,7.220461616,2.714363563,-0.60450105845973,8.094158641,-0.830113036,-0.343531339859008
1986,8.255838817,3.298943148,0.566674318631739,7.969015241,0.623797102,-0.182596951747936,7.260241462,3.449130035,-0.402960498837625,9.364358472,-0.313341819,1.0507447563902,7.195037271,2.697663108,-0.598069428426886,7.995208874,-0.980829253,-0.433792196009484
1987,8.220144724,3.366329846,0.569985542316668,7.973889141,0.650761464,-0.145705471718578,7.270765115,3.488414293,-0.358289547504208,9.148631976,-0.183922838,0.884746986473035,7.200283092,2.749000187,-0.55659275956519,7.969572178,-0.761426021,-0.394144750001727
1988,8.18233565,3.428098935,0.517202491942018,7.998550427,0.676509539,-0.142245050116193,7.297226497,3.498384587,-0.355756506578016,9.241715969,-0.0965109,0.96728983636934,7.244748808,2.816127024,-0.526174835661651,7.959758024,-0.939047719,-0.460315935955498
1989,8.198644956,3.392929967,0.50907110180968,7.964621535,0.66371837,-0.196746228309449,7.319580121,3.531406595,-0.346055527110012,9.296006928,0.080657903,1.0338465485075,7.2376344,2.895856688,-0.537867619553482,7.958150239,-0.834710745,-0.462248275344238
1990,8.180948129,3.444065282,0.488323898222324,7.895726468,0.689139159,-0.273136895842072,7.350432674,3.587372615,-0.317418275396407,9.319102396,0.081579987,1.04521136882316,7.323177319,2.868977865,-0.468861241120955,7.940754692,-0.733969175,-0.474118854686049
