y1,misal1,ect1,y2,misal2,ect2,y3,misal3,ect3,y4,misal4,ect4,y5,misal5,ect5,y6,misal6,ect6,y7,misal7,ect7,y8,misal8,ect8,y9,misal9,ect9,y10,misal10,ect10,y11,misal11,ect11,y12,misal12,ect12,y13,misal13,ect13,y14,misal14,ect14
7.77183,0.774748,-0.652686,4.9733,-1.62333,-1.275114,6.04626,0.124641,-0.7282931,5.80664,0.136303,-0.8953832,6.86059,0.103914,-0.4516944,5.82564,-0.366534,-0.4137245,8.47258,-0.134164,-0.0485657,6.36907,0.616036,-1.091299,8.05104,0.429109,-0.5501643,8.44589,-0.306322,-0.0850487,5.61269,0.060153,-0.5371369,7.23222,0.457328,-0.9661726,8.46096,-0.48789,-0.3070037,6.71646,0.306272,-0.301319
7.8545,0.581897,-0.5472535,5.01349,-1.69135,-1.226896,6.05804,0.042669,-0.7068278,5.84892,-0.012274,-0.835565,6.8934,0.038317,-0.4111356,5.80305,-0.501677,-0.4203622,8.49142,-0.186413,-0.0235638,6.38798,0.490565,-1.057579,8.08145,0.485928,-0.526458,8.48466,1.7965,-0.2945136,5.60638,-0.012684,-0.534844,7.2634,0.423139,-0.9309545,8.46593,-0.603392,-0.2883949,6.74052,0.433185,-0.2922402
7.94436,0.343763,-0.4292826,5.02622,-1.80533,-1.200719,6.057,-0.010257,-0.7016202,5.89966,-0.119309,-0.7721947,6.89676,-0.088802,-0.3927762,5.78373,0.00082,-0.4990051,8.48492,-0.135187,-0.0361129,6.40135,0.444234,-1.038742,8.12902,0.201684,-0.4453389,8.48386,3.98174,-0.5532667,5.57781,-0.01693,-0.562912,7.32852,0.370392,-0.8596103,8.51276,-0.706847,-0.2293524,6.76482,0.445762,-0.2694256
8.05152,0.009059,-0.2826132,5.07942,-1.94087,-1.131518,6.04347,-0.143859,-0.6993847,5.96801,-0.087997,-0.7075402,6.91138,-0.237899,-0.3605529,5.82412,0.196406,-0.4816993,8.50698,-0.237889,-0.0019271,6.47092,0.465054,-0.9716281,8.13697,-0.006356,-0.4128271,8.49437,5.94996,-0.7750951,5.58697,0.079139,-0.5651005,7.415,0.295781,-0.7643183,8.55645,-0.77135,-0.1780494,6.82166,0.490402,-0.2178547
8.11448,-0.260806,-0.1877896,5.0815,-1.95624,-1.127624,6.04757,-0.232631,-0.6848028,6.02262,-0.10216,-0.6512513,6.94517,-0.200945,-0.3311226,5.83028,0.211779,-0.477359,8.54397,-0.321219,0.0449064,6.4877,0.474313,-0.955936,8.16746,-0.31404,-0.3460215,8.53128,7.35831,-0.9044362,5.57544,0.239852,-0.5955966,7.47092,0.283769,-0.7069826,8.58155,-0.815109,-0.1477822,6.82823,0.534009,-0.2164306
8.14164,0.978953,-0.3069784,5.14725,-2.00473,-1.056142,6.11254,-0.30265,-0.6115726,6.0581,-0.218302,-0.6020623,6.99662,-0.350351,-0.262042,5.84192,0.209037,-0.4653895,8.53878,-0.270783,0.0337608,6.51049,0.358587,-0.9194866,8.21317,-0.548491,-0.2726352,8.51465,-9.19373,1.032826,5.63979,0.208045,-0.5274889,7.45541,0.230379,-0.7161869,8.6077,-0.935792,-0.1073912,6.85427,0.451587,-0.18067
8.21141,0.67941,-0.2018537,5.11565,-1.94882,-1.094345,6.22812,-0.417208,-0.4824609,6.09198,-0.307273,-0.5576804,7.07705,-0.430336,-0.1721682,5.86166,0.080482,-0.4304737,8.53943,-0.196901,0.0256832,6.57516,0.235652,-0.8403018,8.28958,-0.822691,-0.1638569,8.47865,-5.56719,0.5687286,5.63327,0.066593,-0.5173196,7.54173,0.225251,-0.6292675,8.62262,-0.854077,-0.102117,6.91082,0.3462,-0.1116734
8.23283,0.435854,-0.151677,5.17527,-1.92123,-1.03798,6.32774,-0.499243,-0.3731588,6.15082,-0.435207,-0.4837425,7.11299,-0.502528,-0.1277052,5.86905,0.02699,-0.4167744,8.51744,-0.236925,0.008418,6.64568,0.179715,-0.7631868,8.30041,-1.01146,-0.130746,8.53065,-3.51643,0.3786422,5.68042,0.025593,-0.4653244,7.59352,0.174968,-0.5715439,8.6289,-0.525052,-0.1346721,6.93771,0.252139,-0.0736826
8.24107,0.08701,-0.1022598,5.27417,-1.92287,-0.9388931,6.36249,-0.582924,-0.3285291,6.21515,-0.470019,-0.4153029,7.11166,-0.630414,-0.113944,5.91438,-0.00997,-0.3670824,8.52606,-0.234908,0.0168002,6.72132,0.171873,-0.6866176,8.29284,-0.879722,-0.153866,8.4698,-1.78175,0.1130226,5.71315,-0.077859,-0.4203855,7.63491,0.139793,-0.5259931,8.68879,-0.697077,-0.0544794,6.96066,0.173522,-0.0414501
8.28303,-0.133359,-0.0342828,5.33408,-1.91421,-0.8800041,6.39938,-0.120162,-0.3462692,6.2602,-0.202733,-0.4018065,7.13472,-0.759922,-0.0755935,5.91851,-0.041385,-0.3592379,8.54129,-0.289209,0.0384432,6.75217,0.126823,-0.6504502,8.26397,-0.765486,-0.1962187,8.55233,-0.750969,0.0738746,5.63645,-0.125613,-0.4914467,7.70086,0.023724,-0.4463466,8.75648,-0.959507,0.0441872,6.98809,0.109582,-0.0064685
