country,Year,logGDP,trans_ENR
Algeria,1980,8.200738461,0.54731941
Algeria,1981,8.199425725,0.519118227
Algeria,1982,8.230244184,0.58223893
Algeria,1983,8.251601324,0.596655491
Algeria,1984,8.275213346,0.606577823
Algeria,1985,8.281316416,0.593497782
Algeria,1986,8.255838817,0.596801079
Algeria,1987,8.220144724,0.606911542
Algeria,1988,8.18233565,0.616002931
Algeria,1989,8.198644956,0.610846923
Algeria,1990,8.180948129,0.618326271
Algeria,1991,8.144272715,0.631001328
Algeria,1992,8.138608545,0.625103933
Algeria,1993,8.095168731,0.613519566
Algeria,1994,8.065419188,0.618154601
Algeria,1995,8.08361869,0.623919445
Algeria,1996,8.1062672,0.620215769
Algeria,1997,8.10105331,0.6136791
Algeria,1998,8.135789277,0.619074835
Algeria,1999,8.153125272,0.618691934
Algeria,2000,8.176835817,0.616762341
Algeria,2001,8.193295167,0.619240508
Algeria,2002,8.235034504,0.621417403
Algeria,2003,8.291799611,0.62283809
Algeria,2004,8.320723216,0.619070229
Algeria,2005,8.364149232,0.642819792
Algeria,2006,8.36629588,0.64829004
Algeria,2007,8.384217073,0.648561496
Algeria,2008,8.39157101,0.659272558
Algeria,2009,8.390223084,0.667090033
Algeria,2010,8.407539027,0.668501844
Algeria,2011,8.417295505,0.683209069
Algeria,2012,8.431214735,0.690299872
Algeria,2013,8.43880345,0.685029549
Algeria,2014,8.45576237,0.686223648
Algeria,2015,8.471641278,0.687209691
Algeria,2016,8.482626591,0.686157405
Algeria,2017,8.475093297,0.686477898
Angola,1980,8.064491811,-0.461364537
Angola,1981,7.984258282,-0.483148845
Angola,1982,7.948727862,-0.421423872
Angola,1983,7.954196695,-0.337433305
Angola,1984,7.976825465,-0.440830614
Angola,1985,7.975746835,-0.246895027
Angola,1986,7.969015241,-0.23596506
Angola,1987,7.973889141,-0.214806059
Angola,1988,7.998550427,-0.195404365
Angola,1989,7.964621535,-0.204948681
Angola,1990,7.895726468,-0.186156028
Angola,1991,7.872344626,-0.159701996
Angola,1992,7.7793875,-0.127919748
Angola,1993,7.472699702,-0.143526304
Angola,1994,7.453747254,-0.159701996
Angola,1995,7.561340088,-0.113414766
Angola,1996,7.6562189,-0.143526304
Angola,1997,7.69426529,-0.079916915
Angola,1998,7.707817766,-0.135462796
Angola,1999,7.696907852,-0.073489674
Angola,2000,7.6942243,-0.092723512
Angola,2001,7.702411568,0.047175572
Angola,2002,7.797209101,0.079297288
Angola,2003,7.7928814,0.101570388
Angola,2004,7.862289323,0.129889362
Angola,2005,7.966926564,0.135098647
Angola,2006,8.040011864,0.1773509
Angola,2007,8.134320932,0.227866093
Angola,2008,8.203071314,0.269250794
Angola,2009,8.174584566,0.313738282
Angola,2010,8.185316778,0.333268203
Angola,2011,8.183106906,0.341382972
Angola,2012,8.2290977,0.348288359
Angola,2013,8.241934956,0.370379518
Angola,2014,8.254060632,0.353820893
Angola,2015,8.229063019,0.357757136
Angola,2016,8.169140965,0.36079614
Angola,2017,8.134447042,0.357454336
Egypt,1980,7.005163257,0.529785994
Egypt,1981,7.051188734,0.555343261
Egypt,1982,7.120323104,0.572957085
Egypt,1983,7.144241421,0.594238067
Egypt,1984,7.211039995,0.607708521
Egypt,1985,7.240800221,0.615642669
Egypt,1986,7.260241462,0.619061018
Egypt,1987,7.270765115,0.624723638
Egypt,1988,7.297226497,0.626150658
Egypt,1989,7.319580121,0.63084813
Egypt,1990,7.350432674,0.638710036
Egypt,1991,7.338901129,0.638806411
Egypt,1992,7.361261064,0.638126112
Egypt,1993,7.369373852,0.646042903
Egypt,1994,7.388247461,0.650677686
Egypt,1995,7.413560321,0.65385087
Egypt,1996,7.442111865,0.664532302
Egypt,1997,7.475492286,0.669456594
Egypt,1998,7.509789957,0.673457182
Egypt,1999,7.548893119,0.678593373
Egypt,2000,7.591341903,0.684194732
Egypt,2001,7.60707338,0.697207028
Egypt,2002,7.611877018,0.699023501
Egypt,2003,7.624726402,0.70800296
Egypt,2004,7.646520933,0.71523272
Egypt,2005,7.672208653,0.722510977
Egypt,2006,7.720687933,0.715513899
Egypt,2007,7.77164895,0.723670013
Egypt,2008,7.822981444,0.738799864
Egypt,2009,7.850013907,0.740833142
Egypt,2010,7.880358289,0.743533868
Egypt,2011,7.876710565,0.746651359
Egypt,2012,7.876581533,0.755155402
Egypt,2013,7.875522089,0.75299381
Egypt,2014,7.881669428,0.751671198
Egypt,2015,7.902391279,0.753285261
Egypt,2016,7.923489455,0.752652392
Egypt,2017,7.943541357,0.752593946
Gabon,1980,9.408121807,-0.580230305
Gabon,1981,9.432844519,-0.769882211
Gabon,1982,9.375879386,-0.639362497
Gabon,1983,9.404434855,-1.429508641
Gabon,1984,9.450340254,-1.334294004
Gabon,1985,9.399784006,-0.769882211
Gabon,1986,9.364358472,-0.580230305
Gabon,1987,9.148631976,-0.846619484
Gabon,1988,9.241715969,-1.169049662
Gabon,1989,9.296006928,-1.258769244
Gabon,1990,9.319102396,-1.253085652
Gabon,1991,9.351114845,-1.121403021
Gabon,1992,9.292635311,-1.026328866
Gabon,1993,9.304574519,-1.247471087
Gabon,1994,9.314696784,-1.026328866
Gabon,1995,9.337383511,-1.405424309
Gabon,1996,9.347504159,-1.125658472
Gabon,1997,9.378119194,-0.948084692
Gabon,1998,9.387451712,-1.125658472
Gabon,1999,9.26940519,-2.257667483
Gabon,2000,9.226247185,-1.349975916
Gabon,2001,9.223530005,-1.599267125
